Name,Path,Type,Size (bytes),Modification Time
00017.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00017.json,File,758.0,2024-10-02 22:49:37
00018.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00018.json,File,738.0,2024-10-02 22:49:37
00019.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00019.json,File,634.0,2024-10-02 22:49:37
00020.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00020.json,File,896.0,2024-10-02 22:49:37
00021.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00021.json,File,812.0,2024-10-02 22:49:37
00022.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00022.json,File,606.0,2024-10-02 22:49:37
00023.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00023.json,File,746.0,2024-10-02 22:49:37
00024.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00024.json,File,771.0,2024-10-02 22:49:37
00025.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00025.json,File,726.0,2024-10-02 22:49:37
00026.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00026.json,File,824.0,2024-10-02 22:49:37
00027.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00027.json,File,766.0,2024-10-02 22:49:37
00028.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00028.json,File,824.0,2024-10-02 22:49:37
00029.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00029.json,File,512.0,2024-10-02 22:49:37
00030.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00030.json,File,607.0,2024-10-02 22:49:37
00031.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00031.json,File,762.0,2024-10-02 22:49:37
00032.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00032.json,File,684.0,2024-10-02 22:49:37
00033.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00033.json,File,801.0,2024-10-02 22:49:37
00034.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00034.json,File,712.0,2024-10-02 22:49:37
00035.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00035.json,File,699.0,2024-10-02 22:49:37
00036.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00036.json,File,824.0,2024-10-02 22:49:37
00037.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00037.json,File,730.0,2024-10-02 22:49:37
00038.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00038.json,File,764.0,2024-10-02 22:49:37
00039.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00039.json,File,643.0,2024-10-02 22:49:37
00040.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00040.json,File,798.0,2024-10-02 22:49:37
00041.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00041.json,File,448.0,2024-10-02 22:49:37
00042.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00042.json,File,584.0,2024-10-02 22:49:37
00043.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00043.json,File,616.0,2024-10-02 22:49:37
00044.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00044.json,File,759.0,2024-10-02 22:49:37
00045.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00045.json,File,704.0,2024-10-02 22:49:37
00046.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00046.json,File,785.0,2024-10-02 22:49:37
00047.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00047.json,File,680.0,2024-10-02 22:49:37
00048.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00048.json,File,716.0,2024-10-02 22:49:37
00049.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00049.json,File,875.0,2024-10-02 22:49:37
00050.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00050.json,File,747.0,2024-10-02 22:49:37
00051.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00051.json,File,0.0,2024-10-02 23:51:32
00052.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00052.json,File,1604.0,2024-10-02 23:56:34
00053.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00053.json,File,1835.0,2024-10-02 23:59:07
test_disk_full.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\test_disk_full.json,File,824.0,2024-10-02 23:53:26
